Home,Away,League,Season,Date,Gols_H,Gols_A,FTR,Placar
Panserraikos,Volos NFC,Superliga,2024/2025,2025-02-01,1.0,1.0,D,1.0 x 1.0
Bromley,Grimsby,EFL League Two,2024/2025,2025-02-01,0.0,2.0,A,0.0 x 2.0
Ath Madrid,Mallorca,LaLiga,2024/2025,2025-02-01,2.0,0.0,H,2.0 x 0.0
Braintree Town,Hartlepool,National League,2024/2025,2025-02-01,1.0,1.0,D,1.0 x 1.0
Nott'm Forest,Brighton,Premier League,2024/2025,2025-02-01,7.0,0.0,H,7.0 x 0.0
Bournemouth,Liverpool,Premier League,2024/2025,2025-02-01,0.0,2.0,A,0.0 x 2.0
Everton,Leicester,Premier League,2024/2025,2025-02-01,4.0,0.0,H,4.0 x 0.0
Ipswich,Southampton,Premier League,2024/2025,2025-02-01,1.0,2.0,A,1.0 x 2.0
Newcastle,Fulham,Premier League,2024/2025,2025-02-01,1.0,2.0,A,1.0 x 2.0
Wolves,Aston Villa,Premier League,2024/2025,2025-02-01,2.0,0.0,H,2.0 x 0.0
Cheltenham,Chesterfield,EFL League Two,2024/2025,2025-02-01,1.0,0.0,H,1.0 x 0.0
Gillingham,Notts County,EFL League Two,2024/2025,2025-02-01,1.0,2.0,A,1.0 x 2.0
Bonnyrigg Rose,Clyde,League Two,2024/2025,2025-02-01,2.0,1.0,H,2.0 x 1.0
Fylde,Oldham,National League,2024/2025,2025-02-01,1.0,2.0,A,1.0 x 2.0
Edinburgh City,Stirling,League Two,2024/2025,2025-02-01,4.0,3.0,H,4.0 x 3.0
Peterhead,Forfar,League Two,2024/2025,2025-02-01,2.0,2.0,D,2.0 x 2.0
Stranraer,Spartans,League Two,2024/2025,2025-02-01,2.0,0.0,H,2.0 x 0.0
Walsall,Salford,EFL League Two,2024/2025,2025-02-01,2.0,2.0,D,2.0 x 2.0
Tranmere,Colchester,EFL League Two,2024/2025,2025-02-01,1.0,3.0,A,1.0 x 3.0
Port Vale,Accrington,EFL League Two,2024/2025,2025-02-01,2.0,1.0,H,2.0 x 1.0
Newport County,Barrow,EFL League Two,2024/2025,2025-02-01,1.0,0.0,H,1.0 x 0.0
Morecambe,Fleetwood Town,EFL League Two,2024/2025,2025-02-01,4.0,2.0,H,4.0 x 2.0
Harrogate,Crewe,EFL League Two,2024/2025,2025-02-01,1.0,1.0,D,1.0 x 1.0
Doncaster,Milton Keynes Dons,EFL League Two,2024/2025,2025-02-01,2.0,1.0,H,2.0 x 1.0
Carlisle,Swindon,EFL League Two,2024/2025,2025-02-01,1.0,5.0,A,1.0 x 5.0
Elgin,East Fife,League Two,2024/2025,2025-02-01,1.0,0.0,H,1.0 x 0.0
Espanol,Real Madrid,LaLiga,2024/2025,2025-02-01,1.0,0.0,H,1.0 x 0.0
Halifax,Ebbsfleet,National League,2024/2025,2025-02-01,2.0,0.0,H,2.0 x 0.0
Wealdstone,Solihull,National League,2024/2025,2025-02-01,1.0,1.0,D,1.0 x 1.0
Villarreal,Valladolid,LaLiga,2024/2025,2025-02-01,5.0,1.0,H,5.0 x 1.0
Getafe,Sevilla,LaLiga,2024/2025,2025-02-01,0.0,0.0,D,0.0 x 0.0
Wigan,Lincoln,EFL League One,2024/2025,2025-02-01,1.0,1.0,D,1.0 x 1.0
Shrewsbury,Mansfield,EFL League One,2024/2025,2025-02-01,2.0,1.0,H,2.0 x 1.0
Reading,Bolton,EFL League One,2024/2025,2025-02-01,1.0,0.0,H,1.0 x 0.0
Northampton,Huddersfield,EFL League One,2024/2025,2025-02-01,3.0,2.0,H,3.0 x 2.0
Leyton Orient,Stockport,EFL League One,2024/2025,2025-02-01,0.0,1.0,A,0.0 x 1.0
Crawley Town,Wrexham,EFL League One,2024/2025,2025-02-01,1.0,2.0,A,1.0 x 2.0
Cambridge,Wycombe,EFL League One,2024/2025,2025-02-01,1.0,1.0,D,1.0 x 1.0
Blackpool,Charlton,EFL League One,2024/2025,2025-02-01,2.0,2.0,D,2.0 x 2.0
Tamworth,Barnet,National League,2024/2025,2025-02-01,0.0,1.0,A,0.0 x 1.0
Birmingham,Rotherham,EFL League One,2024/2025,2025-02-01,2.0,1.0,H,2.0 x 1.0
Barnsley,Burton,EFL League One,2024/2025,2025-02-01,0.0,0.0,D,0.0 x 0.0
Cove Rangers,Arbroath,League One,2024/2025,2025-02-01,2.0,1.0,H,2.0 x 1.0
Dumbarton,Alloa,League One,2024/2025,2025-02-01,1.0,1.0,D,1.0 x 1.0
Inverness C,Queen of Sth,League One,2024/2025,2025-02-01,1.0,0.0,H,1.0 x 0.0
AFC Wimbledon,Bradford,EFL League Two,2024/2025,2025-02-01,1.0,0.0,H,1.0 x 0.0
Montrose,Stenhousemuir,League One,2024/2025,2025-02-01,0.0,3.0,A,0.0 x 3.0
Hatayspor,Antalyaspor,Super Lig,2024/2025,2025-02-01,2.0,3.0,A,2.0 x 3.0
Kayserispor,Trabzonspor,Super Lig,2024/2025,2025-02-01,0.0,0.0,D,0.0 x 0.0
Buyuksehyr,Samsunspor,Super Lig,2024/2025,2025-02-01,4.0,0.0,H,4.0 x 0.0
York,Dag and Red,National League,2024/2025,2025-02-01,2.0,1.0,H,2.0 x 1.0
Stevenage,Exeter,EFL League One,2024/2025,2025-02-01,4.0,1.0,H,4.0 x 1.0
Kelty Hearts,Annan Athletic,League One,2024/2025,2025-02-01,1.0,3.0,A,1.0 x 3.0
Sp Gijon,Burgos,LaLiga 2,2024/2025,2025-02-01,2.0,0.0,H,2.0 x 0.0
Catanzaro,Cesena,Serie B,2024/2025,2025-02-01,4.0,2.0,H,4.0 x 2.0
Airdrie Utd,Queens Park,Championship,2024/2025,2025-02-01,2.0,1.0,H,2.0 x 1.0
Bayern Munich,Holstein Kiel,Bundesliga,2024/2025,2025-02-01,4.0,3.0,H,4.0 x 3.0
Bochum,Freiburg,Bundesliga,2024/2025,2025-02-01,0.0,1.0,A,0.0 x 1.0
Heidenheim,Dortmund,Bundesliga,2024/2025,2025-02-01,1.0,2.0,A,1.0 x 2.0
St Pauli,Augsburg,Bundesliga,2024/2025,2025-02-01,1.0,1.0,D,1.0 x 1.0
Stuttgart,M'gladbach,Bundesliga,2024/2025,2025-02-01,1.0,2.0,A,1.0 x 2.0
Union Berlin,RB Leipzig,Bundesliga,2024/2025,2025-02-01,0.0,0.0,D,0.0 x 0.0
Lille,St Etienne,Ligue 1,2024/2025,2025-02-01,4.0,1.0,H,4.0 x 1.0
Monaco,Auxerre,Ligue 1,2024/2025,2025-02-01,4.0,2.0,H,4.0 x 2.0
Charleroi,Dender,Jupiler League,2024/2025,2025-02-01,5.0,0.0,H,5.0 x 0.0
Cercle Brugge,Standard,Jupiler League,2024/2025,2025-02-01,1.0,1.0,D,1.0 x 1.0
Genk,Beerschot VA,Jupiler League,2024/2025,2025-02-01,1.0,0.0,H,1.0 x 0.0
Dunfermline,Raith Rvs,Championship,2024/2025,2025-02-01,3.0,1.0,H,3.0 x 1.0
Brest,Paris SG,Ligue 1,2024/2025,2025-02-01,2.0,5.0,A,2.0 x 5.0
Sheffield Weds,Luton,EFL Championship,2024/2025,2025-02-01,1.0,1.0,D,1.0 x 1.0
Portsmouth,Burnley,EFL Championship,2024/2025,2025-02-01,0.0,0.0,D,0.0 x 0.0
Millwall,QPR,EFL Championship,2024/2025,2025-02-01,2.0,1.0,H,2.0 x 1.0
Leeds,Cardiff,EFL Championship,2024/2025,2025-02-01,7.0,0.0,H,7.0 x 0.0
Hull,Stoke,EFL Championship,2024/2025,2025-02-01,1.0,2.0,A,1.0 x 2.0
Bologna,Como,Serie A,2024/2025,2025-02-01,2.0,0.0,H,2.0 x 0.0
Atalanta,Torino,Serie A,2024/2025,2025-02-01,1.0,1.0,D,1.0 x 1.0
Udinese,Venezia,Serie A,2024/2025,2025-02-01,3.0,2.0,H,3.0 x 2.0
Monza,Verona,Serie A,2024/2025,2025-02-01,0.0,1.0,A,0.0 x 1.0
Oxford,Bristol City,EFL Championship,2024/2025,2025-02-01,1.0,1.0,D,1.0 x 1.0
Plymouth,West Brom,EFL Championship,2024/2025,2025-02-01,2.0,1.0,H,2.0 x 1.0
Watford,Norwich,EFL Championship,2024/2025,2025-02-01,0.0,1.0,A,0.0 x 1.0
Swansea,Coventry,EFL Championship,2024/2025,2025-02-01,0.0,2.0,A,0.0 x 2.0
Hamilton,Ayr,Championship,2024/2025,2025-02-01,0.0,2.0,A,0.0 x 2.0
Partick,Morton,Championship,2024/2025,2025-02-01,2.0,2.0,D,2.0 x 2.0
Derby,Sheffield United,EFL Championship,2024/2025,2025-02-01,0.0,1.0,A,0.0 x 1.0
Kilmarnock,Dundee United,Premiership,2024/2025,2025-02-01,1.0,0.0,H,1.0 x 0.0
Cittadella,Spezia,Serie B,2024/2025,2025-02-01,0.0,2.0,A,0.0 x 2.0
Schalke 04,Magdeburg,Bundesliga 2,2024/2025,2025-02-01,2.0,5.0,A,2.0 x 5.0
Regensburg,Hertha,Bundesliga 2,2024/2025,2025-02-01,2.0,0.0,H,2.0 x 0.0
Fortuna Dusseldorf,Ulm,Bundesliga 2,2024/2025,2025-02-01,3.0,2.0,H,3.0 x 2.0
Red Star,Lorient,Ligue 2,2024/2025,2025-02-01,1.0,2.0,A,1.0 x 2.0
Troyes,Caen,Ligue 2,2024/2025,2025-02-01,3.0,0.0,H,3.0 x 0.0
Guingamp,Paris FC,Ligue 2,2024/2025,2025-02-01,0.0,1.0,A,0.0 x 1.0
St Mirren,St Johnstone,Premiership,2024/2025,2025-02-01,0.0,1.0,A,0.0 x 1.0
Nacional,Arouca,Primeira Liga,2024/2025,2025-02-01,1.0,2.0,A,1.0 x 2.0
Braunschweig,FC Koln,Bundesliga 2,2024/2025,2025-02-01,1.0,2.0,A,1.0 x 2.0
Gil Vicente,Estoril,Primeira Liga,2024/2025,2025-02-01,1.0,2.0,A,1.0 x 2.0
Guimaraes,AVS,Primeira Liga,2024/2025,2025-02-01,2.0,0.0,H,2.0 x 0.0
Dundee,Hearts,Premiership,2024/2025,2025-02-01,0.0,6.0,A,0.0 x 6.0
Modena,Mantova,Serie B,2024/2025,2025-02-01,3.0,1.0,H,3.0 x 1.0
Sassuolo,Juve Stabia,Serie B,2024/2025,2025-02-01,2.0,0.0,H,2.0 x 0.0
Sampdoria,Cosenza,Serie B,2024/2025,2025-02-01,1.0,0.0,H,1.0 x 0.0
Santa Clara,Casa Pia,Primeira Liga,2024/2025,2025-02-01,2.0,1.0,H,2.0 x 1.0
Hibernian,Aberdeen,Premiership,2024/2025,2025-02-01,2.0,0.0,H,2.0 x 0.0
Fenerbahce,Rizespor,Super Lig,2024/2025,2025-02-02,3.0,2.0,H,3.0 x 2.0
Barcelona,Alaves,LaLiga,2024/2025,2025-02-02,1.0,0.0,H,1.0 x 0.0
Hamburg,Hannover,Bundesliga 2,2024/2025,2025-02-02,2.0,2.0,D,2.0 x 2.0
Valencia,Celta,LaLiga,2024/2025,2025-02-02,2.0,1.0,H,2.0 x 1.0
Kaiserslautern,Preußen Münster,Bundesliga 2,2024/2025,2025-02-02,2.0,1.0,H,2.0 x 1.0
Paderborn,Greuther Furth,Bundesliga 2,2024/2025,2025-02-02,1.0,2.0,A,1.0 x 2.0
Osasuna,Sociedad,LaLiga,2024/2025,2025-02-02,2.0,1.0,H,2.0 x 1.0
Panetolikos,Atromitos,Superliga,2024/2025,2025-02-02,0.0,1.0,A,0.0 x 1.0
Rennes,Strasbourg,Ligue 1,2024/2025,2025-02-02,1.0,0.0,H,1.0 x 0.0
PAOK,AEK,Superliga,2024/2025,2025-02-02,1.0,2.0,A,1.0 x 2.0
Athens Kallithea,Aris,Superliga,2024/2025,2025-02-02,0.0,1.0,A,0.0 x 1.0
Levadeiakos,Olympiakos,Superliga,2024/2025,2025-02-02,0.0,1.0,A,0.0 x 1.0
Reims,Nantes,Ligue 1,2024/2025,2025-02-02,1.0,2.0,A,1.0 x 2.0
Angers,Le Havre,Ligue 1,2024/2025,2025-02-02,1.0,1.0,D,1.0 x 1.0
Toulouse,Nice,Ligue 1,2024/2025,2025-02-02,1.0,1.0,D,1.0 x 1.0
Betis,Ath Bilbao,LaLiga,2024/2025,2025-02-02,2.0,2.0,D,2.0 x 2.0
Sp Lisbon,Farense,Primeira Liga,2024/2025,2025-02-02,3.0,1.0,H,3.0 x 1.0
Gent,Anderlecht,Jupiler League,2024/2025,2025-02-02,1.0,0.0,H,1.0 x 0.0
Willem II,AZ Alkmaar,Eredivisie,2024/2025,2025-02-02,0.0,2.0,A,0.0 x 2.0
Sparta Rotterdam,Groningen,Eredivisie,2024/2025,2025-02-02,1.0,0.0,H,1.0 x 0.0
Go Ahead Eagles,Twente,Eredivisie,2024/2025,2025-02-02,2.0,2.0,D,2.0 x 2.0
Kortrijk,Westerlo,Jupiler League,2024/2025,2025-02-02,1.0,2.0,A,1.0 x 2.0
Estrela,Benfica,Primeira Liga,2024/2025,2025-02-02,2.0,3.0,A,2.0 x 3.0
Motherwell,Celtic,Premiership,2024/2025,2025-02-02,1.0,3.0,A,1.0 x 3.0
Marseille,Lyon,Ligue 1,2024/2025,2025-02-02,3.0,2.0,H,3.0 x 2.0
Rangers,Ross County,Premiership,2024/2025,2025-02-02,4.0,0.0,H,4.0 x 0.0
Ajax,Feyenoord,Eredivisie,2024/2025,2025-02-02,2.0,1.0,H,2.0 x 1.0
Almere City,Waalwijk,Eredivisie,2024/2025,2025-02-02,1.0,4.0,A,1.0 x 4.0
Bristol Rvs,Peterboro,EFL League One,2024/2025,2025-02-02,3.0,1.0,H,3.0 x 1.0
Carrarese,Brescia,Serie B,2024/2025,2025-02-02,1.0,2.0,A,1.0 x 2.0
Salernitana,Cremonese,Serie B,2024/2025,2025-02-02,1.0,0.0,H,1.0 x 0.0
Sudtirol,Reggiana,Serie B,2024/2025,2025-02-02,2.0,0.0,H,2.0 x 0.0
Bari,Frosinone,Serie B,2024/2025,2025-02-02,2.0,1.0,H,2.0 x 1.0
Tenerife,Albacete,LaLiga 2,2024/2025,2025-02-02,3.0,1.0,H,3.0 x 1.0
Zaragoza,Cadiz,LaLiga 2,2024/2025,2025-02-02,0.0,0.0,D,0.0 x 0.0
Cartagena,Cordoba,LaLiga 2,2024/2025,2025-02-02,0.0,1.0,A,0.0 x 1.0
Eibar,La Coruna,LaLiga 2,2024/2025,2025-02-02,0.0,1.0,A,0.0 x 1.0
Ad. Demirspor,Kasimpasa,Super Lig,2024/2025,2025-02-02,3.0,5.0,A,3.0 x 5.0
Castellon,Huesca,LaLiga 2,2024/2025,2025-02-02,0.0,1.0,A,0.0 x 1.0
Ein Frankfurt,Wolfsburg,Bundesliga,2024/2025,2025-02-02,1.0,1.0,D,1.0 x 1.0
Leverkusen,Hoffenheim,Bundesliga,2024/2025,2025-02-02,3.0,1.0,H,3.0 x 1.0
Antwerp,Club Brugge,Jupiler League,2024/2025,2025-02-02,2.0,1.0,H,2.0 x 1.0
St. Gilloise,St Truiden,Jupiler League,2024/2025,2025-02-02,2.0,1.0,H,2.0 x 1.0
Goztep,Alanyaspor,Super Lig,2024/2025,2025-02-02,0.0,1.0,A,0.0 x 1.0
Fiorentina,Genoa,Serie A,2024/2025,2025-02-02,2.0,1.0,H,2.0 x 1.0
Brentford,Tottenham,Premier League,2024/2025,2025-02-02,0.0,2.0,A,0.0 x 2.0
Roma,Napoli,Serie A,2024/2025,2025-02-02,1.0,1.0,D,1.0 x 1.0
Man United,Crystal Palace,Premier League,2024/2025,2025-02-02,0.0,2.0,A,0.0 x 2.0
Juventus,Empoli,Serie A,2024/2025,2025-02-02,4.0,1.0,H,4.0 x 1.0
Arsenal,Man City,Premier League,2024/2025,2025-02-02,5.0,1.0,H,5.0 x 1.0
Milan,Inter,Serie A,2024/2025,2025-02-02,1.0,1.0,D,1.0 x 1.0
Moreirense,Sp Braga,Primeira Liga,2024/2025,2025-02-03,1.0,2.0,A,1.0 x 2.0
Rio Ave,Porto,Primeira Liga,2024/2025,2025-02-03,2.0,2.0,D,2.0 x 2.0
Asteras Tripolis,Lamia,Superliga,2024/2025,2025-02-03,1.0,0.0,H,1.0 x 0.0
Cagliari,Lazio,Serie A,2024/2025,2025-02-03,1.0,2.0,A,1.0 x 2.0
Chelsea,West Ham,Premier League,2024/2025,2025-02-03,2.0,1.0,H,2.0 x 1.0
Levante,Ferrol,LaLiga 2,2024/2025,2025-02-03,0.0,1.0,A,0.0 x 1.0
Girona,Las Palmas,LaLiga,2024/2025,2025-02-03,2.0,1.0,H,2.0 x 1.0
Middlesbrough,Sunderland,EFL Championship,2024/2025,2025-02-03,2.0,3.0,A,2.0 x 3.0
Gaziantep,Galatasaray,Super Lig,2024/2025,2025-02-03,0.0,1.0,A,0.0 x 1.0
Wealdstone,Tamworth,National League,2024/2025,2025-02-04,0.0,1.0,A,0.0 x 1.0
Stirling,Spartans,League Two,2024/2025,2025-02-04,1.0,3.0,A,1.0 x 3.0
Elgin,Bonnyrigg Rose,League Two,2024/2025,2025-02-04,3.0,0.0,H,3.0 x 0.0
Rochdale,Oldham,National League,2024/2025,2025-02-04,0.0,1.0,A,0.0 x 1.0
Halifax,Fylde,National League,2024/2025,2025-02-04,1.0,2.0,A,1.0 x 2.0
Dag and Red,Forest Green,National League,2024/2025,2025-02-04,0.0,2.0,A,0.0 x 2.0
QPR,Blackburn,EFL Championship,2024/2025,2025-02-04,2.0,1.0,H,2.0 x 1.0
Burnley,Oxford,EFL Championship,2024/2025,2025-02-04,1.0,0.0,H,1.0 x 0.0
Salford,Bromley,EFL League Two,2024/2025,2025-02-04,3.0,3.0,D,3.0 x 3.0
Newport County,Morecambe,EFL League Two,2024/2025,2025-02-04,2.0,1.0,H,2.0 x 1.0
Celtic,Dundee,Premiership,2024/2025,2025-02-05,6.0,0.0,H,6.0 x 0.0
Coventry,Leeds,EFL Championship,2024/2025,2025-02-05,0.0,2.0,A,0.0 x 2.0
Fiorentina,Inter,Serie A,2024/2025,2025-02-06,3.0,0.0,H,3.0 x 0.0
Chesterfield,Doncaster,EFL League Two,2024/2025,2025-02-06,5.0,2.0,H,5.0 x 2.0
Nantes,Brest,Ligue 1,2024/2025,2025-02-07,0.0,2.0,A,0.0 x 2.0
Preußen Münster,Hamburg,Bundesliga 2,2024/2025,2025-02-07,1.0,2.0,A,1.0 x 2.0
Greuther Furth,Regensburg,Bundesliga 2,2024/2025,2025-02-07,2.0,1.0,H,2.0 x 1.0
Vallecano,Valladolid,LaLiga,2024/2025,2025-02-07,1.0,0.0,H,1.0 x 0.0
Mansfield,Northampton,EFL League One,2024/2025,2025-02-07,0.0,1.0,A,0.0 x 1.0
Brescia,Salernitana,Serie B,2024/2025,2025-02-07,0.0,0.0,D,0.0 x 0.0
Samsunspor,Hatayspor,Super Lig,2024/2025,2025-02-07,2.0,0.0,H,2.0 x 0.0
Albacete,Zaragoza,LaLiga 2,2024/2025,2025-02-07,2.0,1.0,H,2.0 x 1.0
Rodez,Bastia,Ligue 2,2024/2025,2025-02-07,0.0,2.0,A,0.0 x 2.0
Paris SG,Monaco,Ligue 1,2024/2025,2025-02-07,4.0,1.0,H,4.0 x 1.0
Bayern Munich,Werder Bremen,Bundesliga,2024/2025,2025-02-07,3.0,0.0,H,3.0 x 0.0
Paris FC,Pau FC,Ligue 2,2024/2025,2025-02-07,3.0,1.0,H,3.0 x 1.0
Martigues,Troyes,Ligue 2,2024/2025,2025-02-07,1.0,2.0,A,1.0 x 2.0
Laval,Annecy,Ligue 2,2024/2025,2025-02-07,0.0,1.0,A,0.0 x 1.0
Porto,Sp Lisbon,Primeira Liga,2024/2025,2025-02-07,1.0,1.0,D,1.0 x 1.0
Grenoble,Red Star,Ligue 2,2024/2025,2025-02-07,0.0,0.0,D,0.0 x 0.0
Mechelen,Gent,Jupiler League,2024/2025,2025-02-07,3.0,3.0,D,3.0 x 3.0
Como,Juventus,Serie A,2024/2025,2025-02-07,1.0,2.0,A,1.0 x 2.0
Altrincham,Braintree Town,National League,2024/2025,2025-02-08,3.0,1.0,H,3.0 x 1.0
Boston Utd,Barnet,National League,2024/2025,2025-02-08,0.0,0.0,D,0.0 x 0.0
Club Brugge,Oud-Heverlee Leuven,Jupiler League,2024/2025,2025-02-08,1.0,0.0,H,1.0 x 0.0
Dag and Red,Yeovil,National League,2024/2025,2025-02-08,1.0,1.0,D,1.0 x 1.0
Forest Green,Eastleigh,National League,2024/2025,2025-02-08,2.0,1.0,H,2.0 x 1.0
Maidenhead,Southend,National League,2024/2025,2025-02-08,1.0,0.0,H,1.0 x 0.0
Rochdale,Ebbsfleet,National League,2024/2025,2025-02-08,0.0,0.0,D,0.0 x 0.0
Dender,St Truiden,Jupiler League,2024/2025,2025-02-08,2.0,1.0,H,2.0 x 1.0
Solihull,Oldham,National League,2024/2025,2025-02-08,0.0,1.0,A,0.0 x 1.0
Sutton,Hartlepool,National League,2024/2025,2025-02-08,1.0,2.0,A,1.0 x 2.0
Wealdstone,Gateshead,National League,2024/2025,2025-02-08,0.0,4.0,A,0.0 x 4.0
Genk,Cercle Brugge,Jupiler League,2024/2025,2025-02-08,2.0,1.0,H,2.0 x 1.0
Norwich,Derby,EFL Championship,2024/2025,2025-02-08,1.0,1.0,D,1.0 x 1.0
Feyenoord,Sparta Rotterdam,Eredivisie,2024/2025,2025-02-08,3.0,0.0,H,3.0 x 0.0
Sunderland,Watford,EFL Championship,2024/2025,2025-02-08,2.0,2.0,D,2.0 x 2.0
Verona,Atalanta,Serie A,2024/2025,2025-02-08,0.0,5.0,A,0.0 x 5.0
Empoli,Milan,Serie A,2024/2025,2025-02-08,0.0,2.0,A,0.0 x 2.0
Torino,Genoa,Serie A,2024/2025,2025-02-08,1.0,1.0,D,1.0 x 1.0
Sampdoria,Modena,Serie B,2024/2025,2025-02-08,1.0,0.0,H,1.0 x 0.0
Pisa,Cittadella,Serie B,2024/2025,2025-02-08,0.0,1.0,A,0.0 x 1.0
Mantova,Sassuolo,Serie B,2024/2025,2025-02-08,0.0,3.0,A,0.0 x 3.0
Metz,Clermont,Ligue 2,2024/2025,2025-02-08,3.0,1.0,H,3.0 x 1.0
Lorient,Amiens,Ligue 2,2024/2025,2025-02-08,3.0,1.0,H,3.0 x 1.0
Ajaccio,Guingamp,Ligue 2,2024/2025,2025-02-08,0.0,3.0,A,0.0 x 3.0
Frosinone,Catanzaro,Serie B,2024/2025,2025-02-08,1.0,1.0,D,1.0 x 1.0
Cosenza,Carrarese,Serie B,2024/2025,2025-02-08,1.0,0.0,H,1.0 x 0.0
Charlton,Stevenage,EFL League One,2024/2025,2025-02-08,2.0,0.0,H,2.0 x 0.0
Stockport,Barnsley,EFL League One,2024/2025,2025-02-08,2.0,1.0,H,2.0 x 1.0
Bolton,Crawley Town,EFL League One,2024/2025,2025-02-08,4.0,3.0,H,4.0 x 3.0
Burton,Blackpool,EFL League One,2024/2025,2025-02-08,1.0,1.0,D,1.0 x 1.0
Huddersfield,Reading,EFL League One,2024/2025,2025-02-08,0.0,0.0,D,0.0 x 0.0
Lincoln,Cambridge,EFL League One,2024/2025,2025-02-08,1.0,1.0,D,1.0 x 1.0
Rotherham,Shrewsbury,EFL League One,2024/2025,2025-02-08,1.0,2.0,A,1.0 x 2.0
West Brom,Sheffield Weds,EFL Championship,2024/2025,2025-02-08,2.0,1.0,H,2.0 x 1.0
York,Woking,National League,2024/2025,2025-02-08,3.0,0.0,H,3.0 x 0.0
Heracles,Go Ahead Eagles,Eredivisie,2024/2025,2025-02-08,4.0,2.0,H,4.0 x 2.0
PSV Eindhoven,Willem II,Eredivisie,2024/2025,2025-02-08,1.0,1.0,D,1.0 x 1.0
Darmstadt,Elversberg,Bundesliga 2,2024/2025,2025-02-08,0.0,3.0,A,0.0 x 3.0
Magdeburg,Nurnberg,Bundesliga 2,2024/2025,2025-02-08,3.0,4.0,A,3.0 x 4.0
Ulm,Paderborn,Bundesliga 2,2024/2025,2025-02-08,0.0,2.0,A,0.0 x 2.0
Hertha,Kaiserslautern,Bundesliga 2,2024/2025,2025-02-08,0.0,1.0,A,0.0 x 1.0
Bonnyrigg Rose,Peterhead,League Two,2024/2025,2025-02-08,3.0,4.0,A,3.0 x 4.0
Clyde,Stranraer,League Two,2024/2025,2025-02-08,2.0,0.0,H,2.0 x 0.0
Forfar,Edinburgh City,League Two,2024/2025,2025-02-08,0.0,1.0,A,0.0 x 1.0
Spartans,East Fife,League Two,2024/2025,2025-02-08,0.0,1.0,A,0.0 x 1.0
Groningen,Nijmegen,Eredivisie,2024/2025,2025-02-08,2.0,1.0,H,2.0 x 1.0
Sheffield United,Portsmouth,EFL Championship,2024/2025,2025-02-08,2.0,1.0,H,2.0 x 1.0
Salford,Tranmere,EFL League Two,2024/2025,2025-02-08,2.0,0.0,H,2.0 x 0.0
Milton Keynes Dons,Bromley,EFL League Two,2024/2025,2025-02-08,0.0,1.0,A,0.0 x 1.0
Grimsby,Carlisle,EFL League Two,2024/2025,2025-02-08,2.0,1.0,H,2.0 x 1.0
Fleetwood Town,Cheltenham,EFL League Two,2024/2025,2025-02-08,2.0,0.0,H,2.0 x 0.0
Crewe,Newport County,EFL League Two,2024/2025,2025-02-08,0.0,3.0,A,0.0 x 3.0
Colchester,Walsall,EFL League Two,2024/2025,2025-02-08,2.0,1.0,H,2.0 x 1.0
Barrow,Gillingham,EFL League Two,2024/2025,2025-02-08,3.0,0.0,H,3.0 x 0.0
Accrington,AFC Wimbledon,EFL League Two,2024/2025,2025-02-08,0.0,0.0,D,0.0 x 0.0
Swindon,Port Vale,EFL League Two,2024/2025,2025-02-08,3.0,3.0,D,3.0 x 3.0
Bradford,Harrogate,EFL League Two,2024/2025,2025-02-08,1.0,0.0,H,1.0 x 0.0
Notts County,Morecambe,EFL League Two,2024/2025,2025-02-08,2.0,0.0,H,2.0 x 0.0
Tamworth,Halifax,National League,2024/2025,2025-02-08,1.0,2.0,A,1.0 x 2.0
Stirling,Elgin,League Two,2024/2025,2025-02-08,3.0,1.0,H,3.0 x 1.0
Nice,Lens,Ligue 1,2024/2025,2025-02-08,2.0,0.0,H,2.0 x 0.0
Sivasspor,Besiktas,Super Lig,2024/2025,2025-02-08,0.0,2.0,A,0.0 x 2.0
Kayserispor,Konyaspor,Super Lig,2024/2025,2025-02-08,3.0,2.0,H,3.0 x 2.0
Real Madrid,Ath Madrid,LaLiga,2024/2025,2025-02-08,1.0,1.0,D,1.0 x 1.0
Las Palmas,Villarreal,LaLiga,2024/2025,2025-02-08,1.0,2.0,A,1.0 x 2.0
Ath Bilbao,Girona,LaLiga,2024/2025,2025-02-08,3.0,0.0,H,3.0 x 0.0
Celta,Betis,LaLiga,2024/2025,2025-02-08,3.0,2.0,H,3.0 x 2.0
OFI Crete,PAOK,Superliga,2024/2025,2025-02-08,0.0,5.0,A,0.0 x 5.0
Volos NFC,Panetolikos,Superliga,2024/2025,2025-02-08,0.0,1.0,A,0.0 x 1.0
M'gladbach,Ein Frankfurt,Bundesliga,2024/2025,2025-02-08,1.0,1.0,D,1.0 x 1.0
Wolfsburg,Leverkusen,Bundesliga,2024/2025,2025-02-08,0.0,0.0,D,0.0 x 0.0
Famalicao,Guimaraes,Primeira Liga,2024/2025,2025-02-08,0.0,0.0,D,0.0 x 0.0
St Etienne,Rennes,Ligue 1,2024/2025,2025-02-08,0.0,2.0,A,0.0 x 2.0
AVS,Santa Clara,Primeira Liga,2024/2025,2025-02-08,1.0,2.0,A,1.0 x 2.0
Benfica,Moreirense,Primeira Liga,2024/2025,2025-02-08,3.0,2.0,H,3.0 x 2.0
Granada,Mirandes,LaLiga 2,2024/2025,2025-02-08,0.0,0.0,D,0.0 x 0.0
Stenhousemuir,Queen of Sth,League One,2024/2025,2025-02-08,2.0,1.0,H,2.0 x 1.0
